Respondent_ID,Age_Group,Gender,City_Tier,Status,Income,Gaming_Platform,Gaming_Hours_Per_Week,Setup_Type,Price_Sensitivity,Preferred_Style,Preferred_Color,Purchase_Channel,Spending_Per_Purchase,Annual_Setup_Budget,Purchase_Likelihood,Own_Keycaps,Own_Coiled_Cable,Own_Deskmat,Own_Cable_Sleeves,Own_Streaming_Gear
1,18-21,Female,Tier 2,Working Professional,No income,PC/Laptop,<2,Mobile only,Discount seeker,RGB,Black,Brand Website,500-1500,Under 2000,Very likely,1,1,0,0,0
2,18-21,Male,Tier 1,Student,20000-50000,PC/Laptop,2-5,Mid-range PC,Balanced,RGB,White,Brand Website,1500-3000,2000-5000,Very likely,0,0,0,0,0
3,Under 18,Female,Tier 3,Freelancer/Creator,Under 20000,PC/Laptop,6-10,Basic PC/Laptop,Premium buyer,Minimal,Blue,Flipkart,Under 500,Under 2000,Very likely,1,0,1,0,0
4,22-25,Male,Tier 3,Working Professional,100000-200000,Multiple,6-10,Mobile only,Premium buyer,No preference,Pastel,Amazon,3000-7000,Above 20000,Very likely,0,0,0,1,0
5,18-21,Male,Tier 1,Freelancer/Creator,No income,Multiple,10-20,Mid-range PC,Premium buyer,RGB,Red,Offline Store,500-1500,2000-5000,Maybe,0,0,0,0,0
6,26-30,Male,Tier 1,Student,Under 20000,PC/Laptop,6-10,Basic PC/Laptop,Cheapest option,Minimal,Green,Flipkart,Under 500,Under 2000,Very likely,0,0,0,0,0
7,22-25,Male,Tier 1,Student,No income,Mobile,2-5,Basic PC/Laptop,Cheapest option,Anime,Green,Amazon,500-1500,Under 2000,Likely,1,0,0,0,0
8,31-40,Female,Tier 2,Freelancer/Creator,50000-100000,PC/Laptop,10-20,Basic PC/Laptop,Discount seeker,No preference,White,Offline Store,3000-7000,5000-10000,Likely,0,0,0,0,0
9,Under 18,Male,Tier 1,Student,No income,PC/Laptop,>20,Mid-range PC,Balanced,No preference,Green,Brand Website,Under 500,Under 2000,Likely,1,1,0,0,0
10,18-21,Male,Tier 2,Working Professional,No income,PC/Laptop,10-20,Mid-range PC,Premium buyer,Minimal,Purple,Flipkart,Under 500,Under 2000,Very unlikely,0,0,1,0,0
11,18-21,Male,Tier 2,Working Professional,No income,Mobile,2-5,Mid-range PC,Premium buyer,Cyberpunk,Purple,Flipkart,500-1500,2000-5000,Maybe,0,0,0,0,0
12,22-25,Male,Tier 3,Student,Under 20000,PC/Laptop,>20,Mobile only,Balanced,Anime,Blue,Flipkart,500-1500,Under 2000,Unlikely,0,0,0,0,1
13,31-40,Male,Tier 1,Student,20000-50000,Multiple,10-20,Console,Discount seeker,Minimal,Blue,Amazon,500-1500,5000-10000,Very likely,1,0,0,0,0
14,Under 18,Male,Tier 2,Working Professional,20000-50000,PC/Laptop,6-10,Mid-range PC,Balanced,No preference,Blue,Brand Website,1500-3000,2000-5000,Maybe,1,0,0,0,0
15,18-21,Male,Tier 3,Student,50000-100000,Mobile,10-20,Basic PC/Laptop,Discount seeker,RGB,Green,Flipkart,3000-7000,10000-20000,Very likely,0,0,0,0,0
16,31-40,Female,Tier 3,Student,No income,Multiple,2-5,Mobile only,Cheapest option,No preference,Green,Offline Store,Under 500,2000-5000,Likely,0,1,0,0,0
17,31-40,Male,Tier 2,Student,20000-50000,Multiple,<2,Basic PC/Laptop,Cheapest option,Cyberpunk,Red,Brand Website,1500-3000,2000-5000,Maybe,0,0,0,0,0
18,26-30,Female,Tier 2,Working Professional,50000-100000,Mobile,6-10,Console,Cheapest option,No preference,Purple,Amazon,3000-7000,10000-20000,Likely,0,0,0,0,0
19,18-21,Male,Tier 1,Student,50000-100000,PlayStation,<2,Basic PC/Laptop,Discount seeker,Minimal,RGB,Amazon,1500-3000,5000-10000,Maybe,0,0,0,0,0
20,22-25,Prefer not to say,Tier 2,Student,50000-100000,PC/Laptop,2-5,High-end PC,Premium buyer,Minimal,Red,International Websites,3000-7000,5000-10000,Unlikely,0,0,0,0,0
21,22-25,Male,Tier 2,Student,100000-200000,Mobile,6-10,Basic PC/Laptop,Balanced,No preference,RGB,Amazon,7000+,10000-20000,Likely,1,0,0,0,0
22,26-30,Male,Tier 2,Student,20000-50000,Xbox,<2,Basic PC/Laptop,Balanced,RGB,Purple,Flipkart,1500-3000,2000-5000,Maybe,0,0,1,0,0
23,22-25,Male,Tier 1,Working Professional,No income,Mobile,>20,Basic PC/Laptop,Balanced,Minimal,RGB,Flipkart,Under 500,2000-5000,Likely,0,1,0,1,1
24,18-21,Male,Tier 1,Student,No income,Mobile,<2,Mid-range PC,Discount seeker,Minimal,White,Amazon,500-1500,Under 2000,Unlikely,0,0,1,0,0
25,22-25,Female,Tier 1,Student,50000-100000,Mobile,>20,Mid-range PC,Balanced,Minimal,Black,Brand Website,7000+,Above 20000,Likely,1,1,0,0,0
26,Under 18,Female,Tier 2,Freelancer/Creator,Under 20000,Multiple,2-5,High-end PC,Cheapest option,Anime,Purple,Amazon,Under 500,Under 2000,Likely,1,1,0,0,0
27,18-21,Male,Tier 2,Working Professional,50000-100000,Mobile,<2,Basic PC/Laptop,Premium buyer,No preference,White,Flipkart,1500-3000,10000-20000,Likely,1,0,0,0,0
28,22-25,Male,Tier 1,Working Professional,No income,Mobile,6-10,High-end PC,Premium buyer,No preference,Red,International Websites,Under 500,2000-5000,Likely,0,1,1,1,0
29,18-21,Male,Tier 2,Working Professional,Under 20000,Multiple,<2,Basic PC/Laptop,Premium buyer,Minimal,Purple,Flipkart,500-1500,Under 2000,Very likely,0,0,1,0,0
30,Above 40,Male,Tier 1,Freelancer/Creator,Under 20000,Multiple,<2,Mobile only,Premium buyer,Minimal,Purple,Offline Store,500-1500,2000-5000,Maybe,1,0,0,1,0
31,22-25,Male,Tier 2,Working Professional,20000-50000,Multiple,<2,Mid-range PC,Cheapest option,No preference,RGB,Offline Store,500-1500,2000-5000,Likely,0,0,0,0,0
32,22-25,Male,Tier 3,Other,20000-50000,Xbox,2-5,Console,Discount seeker,Anime,Black,Amazon,7000+,Above 20000,Unlikely,1,1,1,0,0
33,31-40,Female,Tier 1,Student,Under 20000,Mobile,>20,Mid-range PC,Discount seeker,RGB,Blue,Amazon,Under 500,Under 2000,Very unlikely,1,1,0,0,0
34,Under 18,Female,Tier 3,Other,Above 200000,Mobile,10-20,Mobile only,Discount seeker,RGB,Blue,Amazon,7000+,Above 20000,Likely,0,1,1,0,0
35,22-25,Male,Tier 1,Working Professional,20000-50000,Mobile,6-10,Mobile only,Discount seeker,Minimal,RGB,Flipkart,500-1500,5000-10000,Unlikely,0,0,0,0,0
36,22-25,Male,Tier 1,Student,Under 20000,Mobile,2-5,Basic PC/Laptop,Cheapest option,Minimal,White,Amazon,Under 500,2000-5000,Likely,1,0,1,1,1
37,Under 18,Female,Tier 2,Student,20000-50000,Multiple,2-5,Mid-range PC,Discount seeker,Cyberpunk,RGB,Amazon,500-1500,2000-5000,Very likely,0,0,0,0,0
38,18-21,Male,Tier 3,Working Professional,20000-50000,PC/Laptop,2-5,High-end PC,Balanced,Anime,White,Amazon,500-1500,2000-5000,Very likely,0,0,0,0,0
39,22-25,Male,Tier 1,Working Professional,20000-50000,PC/Laptop,10-20,Mobile only,Premium buyer,Cyberpunk,Red,Amazon,1500-3000,2000-5000,Unlikely,0,0,0,0,0
40,22-25,Male,Tier 2,Working Professional,No income,PC/Laptop,6-10,Mobile only,Balanced,Minimal,White,Flipkart,500-1500,Under 2000,Very likely,0,0,0,0,0
41,Under 18,Male,Tier 1,Student,No income,Multiple,6-10,Basic PC/Laptop,Discount seeker,No preference,Black,Flipkart,Under 500,Under 2000,Very likely,0,0,1,0,0
42,18-21,Male,Tier 2,Working Professional,Under 20000,Multiple,6-10,Mid-range PC,Premium buyer,Cyberpunk,RGB,Amazon,Under 500,2000-5000,Likely,0,0,0,0,1
43,Under 18,Male,Tier 1,Other,No income,PlayStation,>20,Mobile only,Discount seeker,Minimal,Pastel,Amazon,Under 500,2000-5000,Very likely,0,1,0,0,0
44,26-30,Male,Tier 1,Student,20000-50000,PC/Laptop,<2,Basic PC/Laptop,Balanced,Cyberpunk,Purple,Flipkart,1500-3000,5000-10000,Very likely,0,0,0,0,0
45,Under 18,Prefer not to say,Tier 1,Freelancer/Creator,Under 20000,Mobile,10-20,Basic PC/Laptop,Balanced,Anime,Blue,Flipkart,Under 500,Under 2000,Likely,1,1,1,0,0
46,31-40,Male,Tier 1,Working Professional,20000-50000,Mobile,<2,Console,Balanced,RGB,Black,Amazon,1500-3000,2000-5000,Very likely,1,0,0,0,0
47,18-21,Female,Tier 1,Student,20000-50000,PC/Laptop,6-10,Basic PC/Laptop,Balanced,No preference,White,Offline Store,500-1500,2000-5000,Likely,0,1,1,0,1
48,22-25,Male,Tier 1,Working Professional,20000-50000,Xbox,10-20,Console,Balanced,Minimal,Pastel,Amazon,500-1500,2000-5000,Likely,0,0,0,0,0
49,18-21,Female,Tier 1,Freelancer/Creator,No income,PlayStation,10-20,High-end PC,Balanced,RGB,White,Brand Website,500-1500,2000-5000,Maybe,0,0,0,0,0
50,18-21,Female,Tier 2,Student,20000-50000,Multiple,<2,Basic PC/Laptop,Balanced,Minimal,Green,Flipkart,500-1500,5000-10000,Very likely,1,1,0,0,1
51,22-25,Male,Tier 2,Working Professional,Under 20000,Mobile,>20,Mobile only,Balanced,Anime,RGB,Amazon,7000+,Above 20000,Very unlikely,1,0,1,1,0
52,22-25,Male,Tier 1,Student,50000-100000,PC/Laptop,2-5,Mid-range PC,Balanced,No preference,White,Offline Store,1500-3000,5000-10000,Likely,0,0,0,0,0
53,Under 18,Male,Tier 2,Student,100000-200000,PlayStation,6-10,Basic PC/Laptop,Premium buyer,Minimal,Green,Flipkart,3000-7000,10000-20000,Very likely,1,0,0,0,1
54,22-25,Male,Tier 1,Working Professional,Under 20000,Multiple,2-5,Mid-range PC,Premium buyer,Minimal,RGB,Flipkart,500-1500,Under 2000,Maybe,0,0,0,0,0
55,18-21,Male,Tier 1,Student,50000-100000,Multiple,2-5,Mid-range PC,Discount seeker,No preference,Purple,Flipkart,1500-3000,5000-10000,Very likely,0,0,1,0,0
56,18-21,Male,Tier 1,Student,50000-100000,PC/Laptop,6-10,Mid-range PC,Premium buyer,RGB,Red,Amazon,3000-7000,10000-20000,Maybe,1,1,0,0,0
57,18-21,Female,Tier 1,Student,Under 20000,PC/Laptop,2-5,Basic PC/Laptop,Balanced,Anime,Blue,Offline Store,500-1500,2000-5000,Unlikely,0,0,0,0,0
58,22-25,Male,Tier 2,Student,Under 20000,Multiple,10-20,High-end PC,Cheapest option,RGB,White,Flipkart,500-1500,2000-5000,Unlikely,1,0,0,0,0
59,22-25,Male,Tier 1,Freelancer/Creator,Above 200000,Xbox,<2,Mid-range PC,Premium buyer,Anime,Red,Offline Store,7000+,10000-20000,Very likely,0,0,0,0,0
60,18-21,Male,Tier 1,Business Owner,50000-100000,Mobile,6-10,Basic PC/Laptop,Balanced,No preference,Pastel,Offline Store,1500-3000,5000-10000,Likely,0,0,0,0,0
61,Under 18,Male,Tier 1,Student,Under 20000,PlayStation,6-10,Mid-range PC,Discount seeker,Minimal,Black,Flipkart,500-1500,Under 2000,Maybe,1,0,0,0,0
62,22-25,Male,Tier 2,Working Professional,Under 20000,Mobile,<2,High-end PC,Discount seeker,RGB,Purple,Flipkart,500-1500,Under 2000,Maybe,0,0,1,0,0
63,18-21,Male,Tier 1,Student,100000-200000,PC/Laptop,>20,Basic PC/Laptop,Balanced,Minimal,Blue,Flipkart,3000-7000,Above 20000,Unlikely,0,1,1,0,0
64,18-21,Male,Tier 1,Other,100000-200000,PC/Laptop,6-10,Mobile only,Balanced,Cyberpunk,Red,Flipkart,3000-7000,10000-20000,Unlikely,0,0,0,1,1
65,31-40,Male,Tier 3,Freelancer/Creator,Under 20000,Mobile,<2,Basic PC/Laptop,Balanced,Minimal,Pastel,Amazon,Under 500,Under 2000,Very likely,0,0,1,0,0
66,22-25,Female,Tier 1,Working Professional,50000-100000,Mobile,2-5,High-end PC,Cheapest option,Anime,Pastel,Amazon,1500-3000,10000-20000,Unlikely,0,1,1,1,0
67,26-30,Male,Tier 2,Working Professional,50000-100000,Multiple,10-20,Mid-range PC,Balanced,RGB,Pastel,Brand Website,1500-3000,10000-20000,Likely,0,0,0,0,0
68,Under 18,Male,Tier 3,Student,Under 20000,Mobile,2-5,Mobile only,Discount seeker,Cyberpunk,Green,Amazon,500-1500,Under 2000,Likely,1,1,0,0,0
69,Above 40,Male,Tier 3,Working Professional,20000-50000,Xbox,2-5,Mid-range PC,Balanced,Minimal,Pastel,Amazon,1500-3000,5000-10000,Unlikely,0,0,1,1,1
70,Above 40,Male,Tier 1,Working Professional,20000-50000,PC/Laptop,10-20,Mid-range PC,Balanced,Anime,Green,Flipkart,1500-3000,5000-10000,Maybe,0,0,1,0,0
71,31-40,Female,Tier 3,Freelancer/Creator,20000-50000,Mobile,<2,Mid-range PC,Balanced,RGB,Purple,Amazon,500-1500,5000-10000,Maybe,0,0,0,0,0
72,26-30,Male,Tier 2,Working Professional,50000-100000,PC/Laptop,6-10,Basic PC/Laptop,Balanced,No preference,Pastel,Offline Store,3000-7000,10000-20000,Unlikely,0,1,1,0,0
73,22-25,Male,Tier 2,Working Professional,No income,Multiple,10-20,High-end PC,Discount seeker,No preference,White,Amazon,500-1500,Under 2000,Likely,0,0,1,1,0
